Start Date,End Date,Employer ID,Employer City,Employer State,Number of Slots,Price Paid,Marketplace Value Delivered,Applications,Renewed?
29-Jan-16,28-Jan-17,53931,The Woodlands,Texas,25,"$21,480","$19,185","2,238",1
29-Jan-16,28-Jan-17,53935,Bengaluru,Karnataka,15,"$12,530","$12,182","1,468",1
29-Jan-16,28-Jan-17,53915,Daytona Beach,Florida,15,"$14,320","$12,744",890,0
29-Jan-16,28-Jan-17,53920,San Mateo,California,15,"$14,320","$13,871","1,432",1
29-Jan-16,28-Jan-17,53883,na,na,15,"$10,740","$13,900","1,198",1
29-Jan-16,28-Jan-17,11442,Minneapolis,Minnesota,25,"$26,850","$23,818","1,611",1
29-Jan-16,28-Jan-17,53922,Westbury,New York State,20,"$13,425","$21,459","1,841",1
29-Jan-16,28-Jan-17,54102,Philadelphia,Pennsylvania,35,"$26,850","$38,420","2,970",1
29-Jan-16,28-Jan-17,53932,Mountain View,California,15,"$14,320","$17,535","1,475",1
29-Jan-16,28-Jan-17,53919,New Castle,Delaware,15,"$10,740","$19,405","1,622",1
29-Jan-16,28-Jan-17,53917,New Orleans,Louisiana,25,"$24,165","$34,345","2,530",1
29-Jan-16,28-Jan-17,11084,San Francisco,California,25,"$17,900","$19,753","1,531",0
28-Jan-16,27-May-16,53822,Dallas,Texas,15,"$10,740",$719,73,0
28-Jan-16,27-Jan-17,53871,Charlotte,North Carolina,15,"$10,740","$2,505",246,0
28-Jan-16,27-Jan-17,53765,na,na,15,"$14,320","$1,390",122,0
28-Jan-16,27-Jan-17,53766,na,na,15,"$10,740","$3,488",440,1
28-Jan-16,27-Jan-17,53873,Annapolis,Maryland,20,"$13,425","$8,002",918,0
28-Jan-16,27-Jan-17,53782,Norfolk,Virginia,35,"$21,480","$15,806","1,866",0
28-Jan-16,27-Jan-17,53870,Providence,Utah,100,"$64,440","$49,972","4,477",0
28-Jan-16,27-Jan-17,53818,Phoenix,Arizona,20,"$13,694","$11,223","1,393",1
28-Jan-16,27-Jan-17,29330,Indianapolis,Indiana,25,"$25,508","$14,077",902,0
28-Jan-16,27-Jan-17,53803,London,England,25,"$16,110","$14,382","1,570",1
28-Jan-16,27-Jan-17,53758,na,na,15,"$10,740","$9,790",784,0
28-Jan-16,7-Mar-16,53762,Durham,North Carolina,25,"$22,375","$2,103",162,0
28-Jan-16,27-Jan-17,53805,na,na,35,"$23,270","$29,362","2,225",0
28-Jan-16,27-Jan-17,53821,Denver,Colorado,15,"$10,740","$13,126","1,234",0
28-Jan-16,3-Dec-16,49778,na,na,25,"$21,480","$22,161","1,122",1
28-Jan-16,27-Jan-17,10377,New York,New York State,15,"$13,246","$14,757","1,117",1
28-Jan-16,27-Jan-17,29395,New York,New York State,25,"$32,220","$33,313","2,856",0
27-Jan-16,26-Jan-17,53747,Lebanon,Indiana,15,"$13,425","$3,206",601,0
27-Jan-16,26-Jan-17,29331,Saint Helens,Oregon,75,"$40,275","$16,131","2,941",1
27-Jan-16,26-Jan-17,53672,Mississauga,Ontario,15,"$10,740","$4,762",305,1
27-Jan-16,26-Jan-17,53640,Covington,Virginia,25,"$17,900","$8,034","1,330",0
27-Jan-16,26-Jan-17,32482,Minneapolis,Minnesota,75,"$40,275","$24,837","3,292",1
27-Jan-16,26-Jan-17,803,na,na,125,"$67,125","$47,088","6,393",1
27-Jan-16,26-Jan-17,11675,Dallas,Texas,25,"$16,110","$13,246","1,513",1
27-Jan-16,26-Jan-17,29344,na,na,50,"$62,650","$30,533","2,645",1
27-Jan-16,26-Jan-17,38336,Corona,California,15,"$13,425","$9,779","1,175",1
27-Jan-16,26-Jan-17,4369,Chicago,Illinois,50,"$48,330","$39,199","4,939",1
27-Jan-16,26-Jan-17,29334,Pikesville,Maryland,25,"$21,480","$18,274",973,1
27-Jan-16,26-Jan-17,53641,Los Angeles,California,20,"$17,900","$14,731","1,221",1
27-Jan-16,26-Jan-17,53695,na,na,15,"$16,110","$11,301","1,212",0
27-Jan-16,26-Jan-17,7667,Madison,Wisconsin,25,"$28,640","$22,820","1,637",1
27-Jan-16,26-Jan-17,11219,na,na,100,"$62,650","$107,615","7,004",0
27-Jan-16,1-Jul-16,53661,Louisville,Kentucky,15,"$10,740","$7,431",756,0
26-Jan-16,25-Jan-17,29184,na,na,50,"$31,361","$25,499","1,863",1
26-Jan-16,25-Jan-17,53528,Wilder,Idaho,15,"$14,320","$8,661","1,061",1
26-Jan-16,25-Aug-16,53562,Boston,Massachusetts,15,"$10,740","$6,319",540,0
26-Jan-16,25-Jan-17,53517,Newark,New Jersey,15,"$12,530","$10,823","1,045",1
26-Jan-16,25-Jan-17,29290,Hialeah,Florida,50,"$31,325","$40,889","3,422",1
26-Jan-16,25-Jan-17,29325,Fort Mill,South Carolina,25,"$20,585","$22,209","1,469",0
26-Jan-16,25-Jan-17,52318,na,na,50,"$26,850","$44,537","2,884",0
26-Jan-16,25-Jan-17,53525,Vancouver,British Columbia,15,"$16,110","$13,365","1,092",1
26-Jan-16,25-Jan-17,53526,Kuala Lumpur,Kuala Lumpur,15,"$12,530","$19,662","1,612",0
26-Jan-16,25-Jan-17,27993,San Antonio,Texas,25,"$20,406","$34,009","2,161",1
25-Jan-16,24-Jan-17,53409,Pflugerville,Texas,15,"$10,740","$8,347",783,0
25-Jan-16,24-May-16,53422,Chicago,Illinois,125,"$26,850","$29,241","3,242",1
25-Jan-16,24-Jan-17,53427,New York,New York State,15,"$13,425","$16,244","1,107",1
23-Jan-16,22-Jan-17,29201,Mountain View,California,35,"$23,270","$15,496","1,088",1
22-Jan-16,21-Jan-17,28894,Marbella,Andalusia,20,"$14,768","$3,502",380,0
22-Jan-16,21-Jan-17,53250,Irvine,California,15,"$10,740","$3,862",259,0
22-Jan-16,21-Jan-17,53249,Great Neck,New York State,35,"$21,480","$5,991",808,1
22-Jan-16,21-Jan-17,53268,Dublin,Co. Dublin,20,"$13,425","$13,797","1,348",1
22-Jan-16,21-Jan-17,53247,Flanders,New Jersey,75,"$40,275","$79,692","6,188",1
22-Jan-16,21-Jan-17,53505,na,na,15,"$10,740","$18,055","1,447",1
22-Jan-16,21-Jan-17,53266,na,na,15,"$14,320","$25,793","1,765",1
21-Jan-16,20-Jan-17,53565,Oakland Park,Florida,15,"$13,425","$4,920",582,1
21-Jan-16,20-Jan-17,53151,Epsom,England,15,"$10,740","$6,099",766,0
21-Jan-16,20-Jan-17,53164,San Leandro,California,25,"$17,900","$11,181","1,386",1
21-Jan-16,20-Jan-17,53150,Shoreview,Minnesota,25,"$16,110","$11,467","1,149",1
21-Jan-16,9-May-16,11700,Woodbridge,Virginia,25,"$17,542","$4,073",642,0
21-Jan-16,20-Jan-17,53131,New York,New York State,20,"$17,900","$19,157","1,247",1
21-Jan-16,20-Jan-17,53227,na,na,15,"$17,900","$15,298","1,139",1
20-Jan-16,19-Jan-17,12278,Westminster,Colorado,50,"$32,220","$10,139",708,0
20-Jan-16,1-Aug-16,53118,Guangzhou,Guangdong,15,"$14,320","$1,915",164,0
20-Jan-16,19-Jan-17,28955,Garden City,New York State,25,"$17,005","$10,583",637,1
20-Jan-16,22-Apr-16,53228,na,na,15,"$13,425","$2,929",226,0
20-Jan-16,19-Jan-17,53111,Providence,Rhode Island,15,"$10,740","$15,631","1,173",0
19-Jan-16,18-Jan-17,52958,Cairo,Cairo Governorate,15,"$10,740","$6,143",402,1
19-Jan-16,29-Apr-16,52949,Milpitas,California,15,"$10,740","$3,802",282,0
18-Jan-16,17-Jan-17,3018,Plano,Texas,25,"$17,900","$10,179","1,329",1
18-Jan-16,17-Jan-17,52950,South Bend,Indiana,15,"$12,530","$10,090","1,100",1
18-Jan-16,17-Jan-17,27272,New York,New York State,25,"$20,585","$17,443","1,112",1
18-Jan-16,17-Jan-17,52944,Le Center,Minnesota,75,"$44,750","$74,707","7,457",1
17-Jan-16,16-Jan-17,12352,Dalian,Liaoning,25,"$25,060","$12,523","1,063",0
17-Jan-16,16-Jan-17,51110,Mesa,Arizona,50,"$26,850","$35,511","3,204",1
17-Jan-16,16-Feb-16,28003,Armonk,New York State,25,"$1,432","$3,102",154,0
16-Jan-16,15-Jan-17,46049,Cottage Grove,Minnesota,75,"$42,960","$28,266","2,864",1
16-Jan-16,15-Jan-17,29277,Gurgaon,Haryana,25,"$18,795","$13,537","1,085",1
16-Jan-16,15-Jan-17,582,Indianapolis,Indiana,100,"$53,700","$67,979","6,052",1
16-Jan-16,15-Jan-17,7520,New York,New York State,35,"$21,480","$24,004","1,498",1
16-Jan-16,15-Jan-17,27988,na,na,50,"$35,800","$54,899","4,055",1
16-Jan-16,15-Jan-17,2939,New York,New York State,20,"$21,480","$36,789","1,790",1
15-Jan-16,14-Jan-17,27952,Mequon,Wisconsin,25,"$26,850","$3,019",276,0
15-Jan-16,14-Jan-17,28956,na,na,15,"$15,555","$3,394",341,1
15-Jan-16,14-Jan-17,52714,na,na,35,"$21,480","$11,097","1,087",1
15-Jan-16,14-Jan-17,27982,Franklin,Tennessee,25,"$17,900","$10,694",567,1
15-Jan-16,14-Jan-17,27795,New York,New York State,25,"$17,900","$14,019","1,038",0
15-Jan-16,14-Jan-17,52708,Newport Beach,California,75,"$41,170","$42,832","4,308",1
15-Jan-16,29-Dec-16,51427,Galway,Co. Galway,25,"$25,060","$14,257","1,737",1
15-Jan-16,14-Jan-17,710,Somerville,Massachusetts,50,"$29,535","$32,279","2,563",0
15-Jan-16,14-Jan-17,52717,Crofton,Maryland,100,"$62,650","$77,966","7,410",1
15-Jan-16,14-Jan-17,27972,New York,New York State,25,"$19,690","$17,425","1,422",0
15-Jan-16,14-Jan-17,8274,New York,New York State,35,"$21,480","$24,885","1,637",1
15-Jan-16,14-Jan-17,27578,Warsaw,Masovia,25,"$16,110","$17,789","1,032",0
15-Jan-16,14-Jan-17,52691,Plainfield,Illinois,25,"$18,795","$19,213","1,686",1
15-Jan-16,14-Jan-17,11652,Petersburg,Virginia,20,"$13,425","$15,431","1,273",1
15-Jan-16,14-Jan-17,4931,Libertyville,Illinois,75,"$53,700","$62,768","4,595",0
15-Jan-16,14-Jan-17,27949,Vancouver,British Columbia,25,"$17,005","$21,292","1,382",1
15-Jan-16,14-Jan-17,12181,Winooski,Vermont,25,"$20,138","$22,510","1,882",0
15-Jan-16,14-Jan-17,29282,Austin,Texas,20,"$17,900","$19,664","1,096",1
15-Jan-16,14-Jan-17,9962,Hillsboro,Oregon,75,"$87,656","$140,967","9,895",0
14-Jan-16,13-Jan-17,27494,Los Angeles,California,25,"$32,220","$6,827",583,1
14-Jan-16,13-Jan-17,10306,na,na,35,"$22,375","$11,118","1,768",1
14-Jan-16,13-Jan-17,52672,Arlington,Virginia,50,"$26,850","$21,063","2,678",1
14-Jan-16,13-Jan-17,27116,na,na,25,"$16,110","$10,590","1,195",1
14-Jan-16,16-Apr-16,52673,Houston,Texas,20,"$17,900","$2,680",235,0
14-Jan-16,13-Jan-17,52603,Great Falls,Montana,15,"$10,740","$7,848",544,0
14-Jan-16,13-Jan-17,52679,North Vancouver,British Columbia,15,"$10,740","$8,163",694,1
14-Jan-16,13-Jan-17,11162,na,na,15,"$13,425","$8,267",587,0
14-Jan-16,13-Jan-17,50413,Vancouver,British Columbia,15,"$16,110","$9,455",559,1
14-Jan-16,13-Jan-17,52678,Jacksonville,Florida,20,"$13,425","$13,658","1,243",1
14-Jan-16,13-Jan-17,52677,Dublin,Co. Dublin,15,"$13,425","$10,252",682,0
14-Jan-16,13-Jan-17,27122,Snoqualmie,Washington State,25,"$24,165","$25,397","2,125",0
14-Jan-16,13-Jan-17,52674,Saint Louis,Missouri,20,"$13,425","$22,931","1,249",0
14-Jan-16,13-Jan-17,637,na,na,50,"$71,600","$77,847","5,693",0
13-Jan-16,12-Jan-17,11456,Dallas,Texas,15,"$13,425","$6,735",433,1
13-Jan-16,12-Jan-17,28786,San Francisco,California,50,"$26,850","$27,736","2,661",1
13-Jan-16,12-Jan-17,10198,na,na,25,"$19,690","$17,037","1,964",0
12-Jan-16,26-Jan-16,52331,Lenexa,Kansas,35,"$21,480",$62,26,1
12-Jan-16,11-Jan-17,21057,New York,New York State,50,"$26,850","$17,312","1,675",1
12-Jan-16,11-Jan-17,16290,Birmingham,Alabama,100,"$53,700","$37,359","4,230",1
12-Jan-16,11-Jan-17,52322,Vancouver,British Columbia,15,"$10,740","$5,968",808,1
12-Jan-16,11-Jan-17,28156,San Francisco,California,150,"$80,550","$69,920","4,985",1
12-Jan-16,22-May-16,52598,na,na,15,"$10,740","$2,824",148,0
12-Jan-16,11-Jan-17,52597,Washington,District of Columbia,15,"$13,425","$9,428","1,259",1
12-Jan-16,11-Jan-17,6238,San Luis Obispo,California,35,"$21,480","$23,306","1,851",1
12-Jan-16,11-Jan-17,7740,na,na,50,"$37,590","$36,835","3,361",1
12-Jan-16,11-Jan-17,52487,Midhurst,Ontario,25,"$25,060","$25,720","2,119",1
12-Jan-16,11-Jan-17,5903,Montreal,Quebec,75,"$51,910","$77,940","5,323",1
11-Jan-16,20-Jan-16,7731,San Francisco,California,50,"$32,220",$187,57,0
11-Jan-16,10-Jan-17,52323,na,na,35,"$21,480","$16,315","1,911",1
11-Jan-16,10-Jan-17,27725,na,na,15,"$12,530","$7,420",651,0
11-Jan-16,10-Jan-17,50914,Montreal,Quebec,35,"$23,270","$10,328",620,0
11-Jan-16,10-Jan-17,52248,Cranbury,New Jersey,15,"$12,530","$15,885","1,204",0
10-Jan-16,9-Jan-17,28698,na,na,50,"$28,640","$20,069","3,023",1
10-Jan-16,9-Jan-17,52247,na,na,15,"$10,740","$6,351",882,1
10-Jan-16,9-Jan-17,10470,na,na,20,"$13,425","$14,025","1,633",1
10-Jan-16,9-Jan-17,27744,Fairfield,Connecticut,15,"$17,900","$16,731","1,158",1
9-Jan-16,8-Jan-17,27885,Opelika,Alabama,25,"$19,332","$3,553",252,1
9-Jan-16,8-Jan-17,120,Boston,Massachusetts,25,"$34,010","$12,344",793,1
9-Jan-16,8-Jan-17,10282,na,na,25,"$16,110","$19,041","2,317",1
8-Jan-16,7-Jan-17,28842,na,na,25,"$17,005","$5,339",428,1
8-Jan-16,7-Jan-17,52081,Reno,Nevada,50,"$26,850","$15,954","1,817",1
8-Jan-16,7-Jan-17,27768,Miami,Florida,20,"$15,215","$8,411",646,1
8-Jan-16,7-Jan-17,52252,na,na,15,"$10,740","$7,055",648,1
8-Jan-16,7-Jan-17,52092,New York,New York State,50,"$26,850","$34,097","3,437",1
8-Jan-16,7-Jan-17,52183,Novi,Michigan,50,"$26,850","$26,906","1,995",0
8-Jan-16,7-Jan-17,52491,Hull,England,15,"$12,530","$12,863","1,255",1
7-Jan-16,6-Jan-17,51951,Kuwait City,Al Asimah,15,"$10,740","$3,338",223,1
7-Jan-16,6-Jan-17,51954,Parma,Ohio,15,"$13,425","$9,578",842,1
7-Jan-16,6-Jan-17,11674,na,na,50,"$34,010","$48,087","3,388",1
6-Jan-16,5-Jan-17,51898,Austin,Texas,35,"$25,060",$692,114,0
6-Jan-16,5-Jan-17,9593,San Francisco,California,25,"$15,663","$5,665",431,1
6-Jan-16,5-Jan-17,51898,na,na,15,"$10,740","$5,048",747,0
6-Jan-16,5-Jan-17,3519,San Rafael,California,35,"$21,480","$12,823","1,889",1
6-Jan-16,5-Jan-17,50098,Hallandale Beach,Florida,15,"$10,740","$5,535",763,1
6-Jan-16,5-Jan-17,9598,Palm Springs,California,50,"$40,275","$31,383","2,704",0
6-Jan-16,5-Jan-17,52004,Phoenix,Arizona,20,"$13,425","$15,448","1,440",1
6-Jan-16,5-Jan-17,656,Horsham,Pennsylvania,35,"$21,480","$27,496","2,877",1
5-Jan-16,3-May-16,28458,San Francisco,California,25,"$17,005",$525,109,0
5-Jan-16,4-Jan-17,27501,na,na,25,"$23,270","$8,131",540,1
5-Jan-16,4-Jan-17,11348,Springfield,Massachusetts,20,"$14,320","$7,299",876,1
5-Jan-16,4-Jan-17,28455,Doncaster,England,25,"$21,480","$14,073",702,1
5-Jan-16,4-Jan-17,28454,Alpharetta,Georgia,35,"$21,480","$26,765","2,917",1
5-Jan-16,4-Jan-17,3724,Colorado Springs,Colorado,100,"$53,700","$79,384","6,943",1
5-Jan-16,4-Jan-17,51858,Newton,Massachusetts,15,"$13,425","$15,504","1,211",1
4-Jan-16,3-Jan-17,50706,na,na,15,"$10,740","$1,423",73,1
4-Jan-16,3-Jan-17,49866,Dallas,Texas,20,"$13,425","$10,086",857,0
4-Jan-16,30-Apr-16,50274,Colorado Springs,Colorado,35,"$21,480","$6,278",611,0
4-Jan-16,3-Jan-17,50974,na,na,50,"$26,850","$29,057","3,014",1
4-Jan-16,3-Jan-17,51425,Johns Island,South Carolina,50,"$26,850","$35,516","2,231",1
4-Jan-16,3-Jan-17,51674,Surry Hills,New South Wales,25,"$16,110","$22,750","1,907",1
4-Jan-16,3-Jan-17,28446,Springfield,Missouri,50,"$26,850","$37,713","4,754",1
4-Jan-16,3-Jan-17,50875,na,na,15,"$21,480","$15,537","1,153",0
4-Jan-16,3-Jan-17,51015,Bonita Springs,Florida,25,"$16,110","$26,096","1,698",1
4-Jan-16,3-Jan-17,51671,San Francisco,California,15,"$14,320","$18,518","1,081",1
4-Jan-16,3-Jan-17,50776,Madison,Wisconsin,50,"$35,800","$62,339","5,426",1
3-Jan-16,2-Jan-17,27577,Memphis,Tennessee,25,"$17,900","$10,795",691,0
3-Jan-16,2-Jan-17,28435,na,na,25,"$17,005","$16,119",798,1
3-Jan-16,2-Jan-17,28430,Fremont,California,50,"$28,640","$55,059","3,409",1
3-Jan-16,25-Jan-16,28423,Naperville,Illinois,15,"$13,425","$1,914",146,0
2-Jan-16,1-Jan-17,50697,Edina,Minnesota,20,"$14,320",$11,1,0
2-Jan-16,2-Feb-17,18417,Champlain,New York State,100,"$69,810","$27,846","2,606",0
2-Jan-16,1-Jan-17,9169,na,na,175,"$93,975","$58,842","6,403",1
2-Jan-16,1-Jan-17,28394,na,na,25,"$17,005","$9,675",489,1
2-Jan-16,1-Jan-17,28411,Melbourne,Victoria,50,"$29,535","$36,100","2,965",1
2-Jan-16,1-Jan-17,72,New York,New York State,100,"$71,600","$58,760","6,537",0
2-Jan-16,1-Jan-17,50703,Lakewood,Colorado,20,"$14,320","$14,060",923,0
2-Jan-16,1-Jan-17,28420,Miramar,Florida,15,"$12,530","$12,199",613,1
2-Jan-16,1-Jan-17,28407,Earls Barton,England,25,"$22,554","$21,455","1,430",1
2-Jan-16,1-Jan-17,28256,na,na,25,"$17,900","$27,964","2,666",1
1-Jan-16,31-Dec-16,28158,Ronkonkoma,New York State,35,"$21,480",$134,14,0
1-Jan-16,31-Dec-16,28158,Brookfield,Wisconsin,35,"$21,480","$1,390",101,0
1-Jan-16,31-Dec-16,28256,Charleston,South Carolina,100,"$53,700","$6,647",357,1
1-Jan-16,31-Dec-16,26731,Duluth,Georgia,50,"$35,800","$8,835",557,1
1-Jan-16,31-Dec-16,49903,na,na,15,"$10,740","$2,803",336,0
1-Jan-16,31-Dec-16,28158,Lake Mary,Florida,15,"$10,740","$3,299",228,0
1-Jan-16,31-Dec-16,51103,Winter Springs,Florida,75,"$40,275","$17,697","2,974",0
1-Jan-16,31-Dec-16,478,Reno,Nevada,50,"$26,850","$14,255","2,098",1
1-Jan-16,31-Dec-16,50783,Tampa,Florida,75,"$40,275","$21,762","2,150",0
1-Jan-16,31-Dec-16,51092,na,na,100,"$62,650","$31,579","3,121",1
1-Jan-16,31-Dec-16,5030,na,na,75,"$42,960","$23,777","2,729",1
1-Jan-16,31-Dec-16,51096,Celebration,Florida,50,"$35,800","$16,708","1,617",1
1-Jan-16,31-Dec-16,8061,Glendale,California,25,"$17,184","$8,393",430,1
1-Jan-16,31-Dec-16,27469,Lafayette,California,25,"$16,110","$8,468",452,1
1-Jan-16,31-Dec-16,49107,Monterrey,Nuevo León,35,"$21,480","$12,126","1,002",1
1-Jan-16,31-Dec-16,6025,Toledo,Ohio,75,"$50,120","$26,002","2,248",0
1-Jan-16,31-Dec-16,17018,na,na,100,"$57,280","$35,824","2,648",1
1-Jan-16,31-Dec-16,34922,Temecula,California,75,"$40,275","$28,429","4,096",1
1-Jan-16,31-Dec-16,6455,na,na,125,"$67,125","$74,472","8,050",1
1-Jan-16,31-Dec-16,28158,Memphis,Tennessee,50,"$26,850","$19,205","1,575",0
1-Jan-16,31-Jan-17,50917,Rochester,New York State,50,"$26,850","$20,860","2,848",1
1-Jan-16,5-Aug-16,49777,Raleigh,North Carolina,50,"$26,850","$12,165","1,169",0
1-Jan-16,31-Dec-16,27010,na,na,25,"$27,477","$10,629",594,1
1-Jan-16,31-Dec-16,53389,Janesville,Wisconsin,25,"$16,110","$10,726","1,508",0
1-Jan-16,31-Dec-16,21060,Murrysville,Pennsylvania,125,"$76,075","$53,811","7,426",0
1-Jan-16,31-Dec-16,9357,na,na,50,"$29,535","$22,696","3,239",1
1-Jan-16,31-Dec-16,27447,na,na,50,"$34,905","$23,286","2,408",1
1-Jan-16,31-Dec-16,11443,San Francisco,California,125,"$67,125","$58,221","8,390",1
1-Jan-16,31-Dec-16,8840,San Francisco,California,75,"$40,275","$35,094","3,760",1
1-Jan-16,31-Dec-16,5491,Indianapolis,Indiana,35,"$26,850","$16,407","1,007",1
1-Jan-16,31-Dec-16,5466,Austin,Texas,20,"$13,246","$9,386",527,0
1-Jan-16,31-Dec-16,33540,Noblesville,Indiana,75,"$40,275","$35,816","5,117",1
1-Jan-16,31-Dec-16,51455,Dallas,Texas,50,"$26,850","$24,412","1,692",0
1-Jan-16,31-Dec-16,27473,Hilliard,Ohio,25,"$22,375","$12,215","1,766",1
1-Jan-16,31-Dec-16,27429,San Fernando,California,100,"$62,650","$50,122","5,891",1
1-Jan-16,31-Dec-16,50152,Medicine Hat,Alberta,20,"$17,900","$10,041",862,1
1-Jan-16,31-Dec-16,27500,Scott Air Force Base,Illinois,50,"$37,590","$25,621","3,651",1
1-Jan-16,31-Dec-16,26756,Dayton,Ohio,25,"$17,900","$12,815","1,880",1
1-Jan-16,31-Dec-16,5610,Storrs Mansfield,Connecticut,25,"$17,453","$12,830",696,1
1-Jan-16,19-Apr-16,28288,New York,New York State,25,"$23,270","$4,011",357,0
1-Jan-16,31-Dec-16,51359,Las Vegas,Nevada,50,"$26,850","$27,232","3,928",0
1-Jan-16,31-Dec-16,28372,Boise,Idaho,100,"$53,700","$64,328","5,951",1
1-Jan-16,31-Dec-16,10785,Holyoke,Massachusetts,125,"$67,125","$69,211","6,309",1
1-Jan-16,31-Dec-16,24258,na,na,100,"$53,700","$55,499","6,282",0
1-Jan-16,31-Dec-16,10777,Grand Haven,Michigan,50,"$35,800","$27,792","2,313",0
1-Jan-16,31-Dec-16,4355,na,na,100,"$62,650","$56,212","4,409",1
1-Jan-16,31-Dec-16,51521,Anchorage,Alaska,75,"$40,275","$42,508","4,640",1
1-Jan-16,31-Dec-16,11347,na,na,25,"$16,647","$14,248","1,195",1
1-Jan-16,31-Dec-16,26738,Skokie,Illinois,25,"$17,900","$15,257","1,190",0
1-Jan-16,31-Dec-16,8370,New York,New York State,50,"$26,850","$28,055","2,974",0
1-Jan-16,31-Dec-16,49863,Clinton,New Jersey,15,"$10,740","$9,352",859,1
1-Jan-16,31-Dec-16,9556,na,na,25,"$25,060","$16,077",976,1
1-Jan-16,31-Jan-17,50060,na,na,50,"$35,800","$34,928","4,047",0
1-Jan-16,31-Dec-16,27519,Mountain View,California,25,"$21,480","$16,144","1,230",0
1-Jan-16,31-Dec-16,50416,Kuala Lumpur,Kuala Lumpur,25,"$17,900","$16,161","1,102",1
1-Jan-16,31-Dec-16,11154,Waukegan,Illinois,25,"$18,849","$16,257","1,386",1
1-Jan-16,31-Dec-16,27445,na,na,25,"$17,005","$16,274","1,348",1
1-Jan-16,31-Jan-17,28414,na,na,25,"$16,110","$17,712","1,988",1
1-Jan-16,31-Dec-16,50886,New York,New York State,25,"$21,480","$16,551","1,874",1
1-Jan-16,31-Dec-16,596,Taipei,T'ai-pei,50,"$31,325","$33,346","2,364",1
1-Jan-16,31-Dec-16,27184,Kerrville,Texas,25,"$25,955","$17,074",986,1
1-Jan-16,31-Dec-16,50186,Coconut Creek,Florida,35,"$21,480","$24,254","1,604",0
1-Jan-16,31-Dec-16,28406,na,na,100,"$62,650","$79,302","4,835",0
1-Jan-16,31-Dec-16,11464,San Francisco,California,50,"$26,850","$35,603","1,980",1
1-Jan-16,31-Dec-16,872,na,na,200,"$125,658","$59,099","4,244",1
1-Jan-16,31-Dec-16,28158,na,na,15,"$10,740","$11,006","1,550",0
1-Jan-16,31-Dec-16,27523,na,na,15,"$14,678","$11,387",701,1
1-Jan-16,31-Dec-16,28367,Old Lyme,Connecticut,25,"$22,375","$26,137","2,303",1
1-Jan-16,31-Dec-16,27157,Portage,Wisconsin,50,"$30,430","$39,321","2,995",1
1-Jan-16,31-Dec-16,27729,Las Vegas,Nevada,25,"$21,480","$19,997","1,656",0
1-Jan-16,31-Dec-16,4675,Myrtle Beach,South Carolina,50,"$34,010","$41,380","3,598",0
1-Jan-16,31-Dec-16,28378,Atlanta,Georgia,50,"$26,850","$40,756","2,842",1
1-Jan-16,31-Dec-16,11532,Davie,Florida,100,"$67,125","$82,192","7,368",1
1-Jan-16,31-Dec-16,26700,na,na,50,"$34,010","$41,235","2,234",1
1-Jan-16,31-Dec-16,26815,New York,New York State,50,"$44,750","$42,772","3,834",1
1-Jan-16,31-Dec-16,50169,Minden,Nevada,35,"$21,480","$30,143","2,009",1
1-Jan-16,17-Feb-17,27069,Vista,California,35,"$33,115","$34,097","2,688",1
1-Jan-16,31-Dec-16,16505,San Diego,California,25,"$21,265","$21,627","1,786",1
1-Jan-16,31-Dec-16,522,Chicago,Illinois,75,"$42,960","$78,886","5,178",1
1-Jan-16,30-Jun-16,48825,Broomfield,Colorado,35,"$12,888","$15,703","1,366",0
1-Jan-16,31-Dec-16,28198,New York,New York State,100,"$56,385","$90,229","7,762",1
1-Jan-16,31-Dec-16,10788,Carmel,Indiana,25,"$18,795","$22,778","1,466",1
1-Jan-16,31-Dec-16,28290,Dallas,Texas,100,"$61,755","$92,388","5,638",0
1-Jan-16,31-Dec-16,27499,na,na,50,"$28,640","$46,255","3,225",1
1-Jan-16,30-Jun-16,50285,Hong Kong,0,75,"$30,430","$34,616","2,911",1
1-Jan-16,31-Dec-16,972,na,na,150,"$85,920","$139,782","11,515",1
1-Jan-16,31-Dec-16,27071,na,na,20,"$13,425","$19,140","1,234",1
1-Jan-16,31-Dec-16,26866,New York,New York State,25,"$16,110","$23,967","1,507",1
1-Jan-16,31-Dec-16,26248,na,na,100,"$62,650","$98,384","7,297",1
1-Jan-16,31-Dec-16,11513,Wellesley,Massachusetts,75,"$34,010","$74,329","6,350",1
1-Jan-16,31-Dec-16,11343,Sofia,Sofia (city),25,"$24,165","$25,721","1,974",0
1-Jan-16,31-Dec-16,7103,Hampton,England,50,"$32,220","$51,843","3,281",0
1-Jan-16,31-Dec-16,28434,na,na,15,"$17,900","$15,818",922,1
1-Jan-16,31-Dec-16,49387,Tulsa,Oklahoma,125,"$67,125","$132,371","8,651",1
1-Jan-16,31-Dec-16,10799,Coppell,Texas,25,"$17,005","$26,552","1,276",0
1-Jan-16,31-Dec-16,28421,Melville,New York State,25,"$17,005","$26,641","1,801",0
1-Jan-16,31-Dec-16,27520,na,na,25,"$23,270","$27,005","1,612",1
1-Jan-16,31-Dec-16,645,Denver,Colorado,200,"$107,400","$240,798","15,860",1
1-Jan-16,31-Dec-16,28220,Washington,District of Columbia,25,"$17,900","$30,521","2,148",1
1-Jan-16,31-Dec-16,11083,na,na,25,"$20,585","$32,989","2,008",1
